--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches,-9999
55,Hwang Doyun,kr KOR,MF,FC Seoul,23-140,2003,4.1,1,2,0,0.0,0.49,0.00,0.50,,0,0,Matches,816f2cbf
56,Lim Dugkeun,kr KOR,DFMF,Sangmu,26-183,2000,6.3,0,4,0,0.0,0.64,0.00,0.00,,0,0,Matches,17ae8824
57,Lee Euihyung,kr KOR,FWMF,Bucheon FC,28-177,1998,4.4,1,1,1,100.0,0.23,0.23,1.00,1.00,0,0,Matches,4180ede6
58,Erick Farias,br BRA,FWMF,Ulsan HD,29-236,1997,4.5,1,4,1,25.0,0.88,0.22,0.25,1.00,0,0,Matches,f50ae991
59,Gerso Fernandes,pt POR,MF,Incheon United,35-185,1991,17.5,3,19,9,47.4,1.09,0.51,0.16,0.33,0,0,Matches,43cbe937
60,Morgan Ferrier,gy GUY,FW,Incheon United,31-285,1994,14.1,6,28,11,39.3,1.99,0.78,0.21,0.55,0,0,Matches,00c8db49
61,Tobias Figueiredo,pt POR,DF,Jeju United,32-206,1994,10.0,2,3,2,66.7,0.30,0.20,0.67,1.00,0,0,Matches,352cabbc
62,Hólmbert Friðjónsson,is ISL,FW,Gwangju FC,33-130,1993,11.8,1,20,4,20.0,1.69,0.34,0.05,0.25,1,1,Matches,5e175384
63,Vitor Gabriel,br BRA,FW,Bucheon FC,26-219,2000,11.1,5,19,7,36.8,1.72,0.63,0.26,0.71,0,0,Matches,094c2abd
64,Jefferson Galego,br BRA,FWMF,Bucheon FC,29-145,1997,21.0,8,42,18,42.9,2.00,0.86,0.19,0.44,2,2,Matches,a14b8d2d
65,João Gamboa,pt POR,MF,Jeonbuk,29-361,1996,2.7,0,12,4,33.3,4.52,1.51,0.00,0.00,0,0,Matches,f5dfeb5d
66,Kim Geonhui,kr KOR,DF,Incheon United,23-345,2002,16.0,2,9,5,55.6,0.56,0.31,0.22,0.40,0,0,Matches,7687777c
67,Choi Geonju,kr KOR,MFFW,FC Anyang,27-062,1999,17.5,5,12,6,50.0,0.68,0.34,0.42,0.83,0,0,Matches,6bb6684d
68,Lee Gi-hyuk,kr KOR,DFMF,Gangwon FC,26-051,2000,21.5,0,7,2,28.6,0.33,0.09,0.00,0.00,0,0,Matches,18c8c3c7
69,Teun van Grunsven,nl NED,DF,Gwangju FC,26-301,1999,7.6,0,5,0,0.0,0.66,0.00,0.00,,0,0,Matches,f54637a1
